GID_date,Site_ID,GID,GID_gg,GID_hr
79786,,,72949,
79787,,,72950,
79788,,,,71314
79789,,,,71315
79790,,,72951,
79791,,,72952,
79792,,40266,,
79793,,,72953,
79794,,40267,,
79795,,,,71316
79796,,,72954,
79797,,,72955,
79798,,40268,,
79799,,,72956,
79800,,40269,,
79801,,,72957,
79802,,,72959,
79803,,40270,,
79807,,40272,,
79808,,,72962,
79809,,,72963,
79810,,40273,,
79811,,,72964,
79812,,,72965,
79813,,,72966,
79814,,,72967,
79815,,40274,,
79816,,,72968,
79817,,40275,,
79818,,,72969,
79819,,,72970,
79820,,,72971,
79821,,,,71317
79822,,,,71318
79823,,,,71319
79824,,72281,,
79825,,40276,,
79826,,,,71320
79827,,,72973,
79828,,,72972,
79829,,,72974,
79830,,,72975,
79831,,,72976,
79832,,40277,,
79833,,,72980,
79834,,,72977,
79835,,,72978,
79836,,,72979,
79837,,72282,,
79838,,40278,,
79839,,,,71322
79840,,,,71321
79843,40280,,,
79844,,72283,,
79846,,,,71324
79847,,,72982,
79848,,,72983,
79849,,,72984,
79850,,40281,,
79851,,,72986,
79852,,,72985,
79853,,40282,,
79854,,,72987,
79855,,,72988,
79856,,,72989,
79857,,,72990,
79858,,,,71325
79859,,40283,,
79860,,72284,,
79861,,40284,,
79862,,,72991,
79868,,40285,,
79869,,,72994,
79870,,,72995,
79871,,,72996,
79872,,40286,,
79873,,,72997,
79874,40287,,,
79878,,,73000,
79879,,,73001,
79880,,,73002,
79881,,,73003,
79882,,,73004,
79884,,,73006,
79885,,,73007,
79886,,,73008,
79887,,,73009,
79888,,,73010,
79889,,,73011,
79890,,,73012,
79891,,,73013,
79892,,,73014,
79893,,,73015,
79894,,,73016,
79895,,,73017,
79896,,,,71328
79897,,,,71329
79898,,,,71330
79899,,,,71331
79900,,,,71331
79901,,,,71332
79902,,,,71333
79903,,,,71334
79904,,,,71335
79905,,40287,,
79906,,40287,,
79907,,,,71336
79908,,,,71337
79909,,,73018,
79910,,,73019,
79912,,40288,,
79913,,72286,,
79914,,72287,,
79915,,40289,,
79916,,,73021,
79926,,40295,,
79927,,,73027,
79928,,40296,,
79929,,,73028,
79933,40302,,,
79934,,40302,,
79935,,,73032,
79936,,,73031,
79937,,,73030,
79938,,40306,,
79939,,,73033,
79940,,40308,,
79941,50171,,,
79942,,50171,,
79943,,,,50098
79944,,,,71342
79945,,,,71343
79946,,,,71344
79947,,,73034,
79948,,,73035,
79949,,,73036,
79950,,,73037,
79951,,,73038,
79952,,,73039,
79953,,,73040,
79954,,72289,,
79955,,,,71345
79956,,,73041,
79957,,50217,,
79958,,,,71346
79959,,,73042,
79960,,,73043,
79961,50222,,,
79962,,50222,,
79963,,,,71347
79964,50216,,,
79965,50216,,,
79966,20011,,,
79967,,20011,,
79968,,50216,,
79969,,,,71348
79970,,,73044,
79971,,72291,,
79972,,,,71349
79973,,,73048,
79974,,72292,,
79975,,72295,,
79976,,,,71352
79977,,,73051,
79978,,72296,,
79979,,,73052,
79980,,72293,,
79981,,,,71350
79982,,,,71351
79983,,,73050,
79984,,,73045,
79985,,,73046,
79986,,,73047,
79987,,,73049,
79988,,,,71353
79989,,,73053,
79990,,72294,,
79991,,,,71354
79992,,,73054,
79993,50219,,,
79996,,20019,,
79998,,20019,,
79999,,,73055,
80000,,,73055,
80001,,,73056,
80002,,,73056,
80003,,,,20008
80004,,,,20009
80005,,72298,,
80006,,,,71356
80007,,,73059,
80008,,,73060,
80009,,,,71357
80010,,,73066,
80011,,,73065,
80012,,,73064,
80013,,,73063,
80014,,,73062,
80015,,,73061,
80016,,72299,,
80017,,,,71358
80018,,,73067,
80019,,,73068,
80020,,50224,,
80021,,72200,,
80022,,72201,,
80023,,,,71359
80024,,,,71360
80025,,,,71361
80026,,,73071,
80027,,,73072,
80028,,,73070,
80029,,,73069,
80030,72840,,,
80031,,72300,,
80032,,72301,,
80033,,,,71363
80034,,,,71362
80035,,,73073,
80036,,,73074,
80037,72837,,,
80038,72837,,,
80039,72839,,,
80040,72839,,,
80042,,,,71365
80043,,,73076,
80044,72838,,,
80045,,72304,,
80046,,,,71366
80047,,,73077,
80048,,72302,,
80049,,72305,,
80050,,,,71367
80051,,,73078,
80052,,72306,,
80053,,72307,,
80054,,72308,,
80055,,72309,,
80056,,,,71368
80057,,,,71369
80058,,,,71370
80059,,,,71371
80060,,,73082,
80061,,,73081,
80062,,,73083,
80063,,,73080,
80064,,,73079,
80066,,72310,,
80067,,,,71372
80068,,,73084,
80069,,,73085,
80070,,,73086,
80071,,,73087,
80072,,,73088,
80073,,,73089,
80074,,,73090,
80075,60001,,,
80076,,72311,,
80077,,72311,,
80078,,,,71373
80079,,,,71373
80080,,,73091,
80081,,,73091,
80082,60002,,,
80083,,,,71374
80084,,,,71374
80085,,,,71375
80086,,,,71375
80087,,72312,,
80088,,72312,,
80089,,,73092,
80090,,,73092,
80093,,,73094,
80094,,,73094,
80095,,,73095,
80096,,,,71194
80097,,,,71193
80098,,,,71230
80099,,,,71231
80100,,,,71273
80101,,,,71278
80102,,,,71279
80103,,,71579,
80106,,,72753,
80107,,,72766,
80108,,,72832,
80110,,72313,,
80111,,,,71376
80112,,,,71377
80113,,,73096,
80116,,72315,,
80117,,,,71379
80118,,,73098,
80119,60008,,,
80120,,72316,,
80121,,,,71380
80122,,,,71381
80123,,,73099,
80124,,,73100,
80125,,72317,,
80126,,,,71382
80127,,,,71383
80128,,,73101,
80129,,,73102,
80137,60022,,,
80138,,,,71386
80139,,,60003,
80140,,,,71387
80141,,,60004,
80142,,,73104,
80143,,,73105,
80144,,,73106,
80145,,,73107,
80146,,,73108,
80147,,,73109,
80148,,,73110,
80149,,,73111,
80150,,,73112,
80151,,,73113,
80152,,,73114,
80153,,,73115,
80154,,,73116,
80155,,,73117,
80156,,,73118,
80157,,,73119,
80158,,,,71388
80159,,,60005,
80160,,,60006,
80161,,,,71390
80162,,,73120,
80163,,60015,,
80164,,,60009,
80165,,,73121,
80166,,,,71391
80167,,60016,,
80168,,,60010,
80169,,,73122,
80170,60034,,,
80171,60034,,,
80172,60036,,,
80174,60042,,,
80175,,,,71392
80176,,,,71395
80177,,,73127,
80178,,,73125,
80179,,,73124,
80180,,,73123,
80181,,,,71394
80182,,,,71393
80183,,72319,,
80184,,72320,,
80185,,72321,,
80186,,,,71396
80187,,,73128,
80188,,,73129,
80189,,72318,,
80190,,72322,,
80191,,,,71397
80192,,,73130,
80193,,72323,,
80194,,,,71398
80195,,,,71399
80196,,,73131,
80200,,72324,,
80201,,72324,,
80202,,,,71400
80203,,,,71400
80207,,,73134,
80208,,,73134,
80211,,,,71402
80212,,,60011,
80213,,,73136,
80214,60057,,,
80220,60058,,,
80221,,60027,,
80222,,,,71404
80223,,,,71404
80224,,,,71405
80225,,,,71405
80226,,,73138,
80227,,,73138,
80228,,,73139,
80229,,,73139,
80230,60059,,,
80231,,,,71406
80232,,,,71407
80233,,,73140,
80234,,,,71408
80235,,,,71409
80236,,,,71409
80237,,,73142,
80238,,,73142,
80239,,,73141,
80240,,60030,,
80241,,,,71411
80242,,,,71411
80243,,,73145,
80244,,,73145,
80245,,,73146,
80246,,,73146,
80247,,,73147,
80248,,,73147,
80249,60063,,,
80250,,72328,,
80251,,,73148,
80252,,,73149,
80253,,,73150,
80254,,,73151,
80255,,,,71412
80256,,,,71413
80257,,60032,,
80258,,,60012,
80260,,,,71416
80261,,,,71414
80262,,,,71415
80263,,72329,,
80264,,72330,,
80265,,,73155,
80266,,,73153,
80267,,,73154,
80268,,72331,,
80269,,,,71417
80270,,,73156,
80271,,,73157,
80272,,72332,,
80304,60074,,,
80305,60074,,,
80306,,72336,,
80307,,72337,,
80308,,72338,,
80309,,72339,,
80310,,,,71427
80311,,,,71428
80312,,,,71429
80313,,,,71430
80314,,,,71431
80315,,,,71432
80316,,,,71433
80317,,,,71434
80319,,,73169,
80322,,,73172,
80323,,,73173,
80324,,,73174,
80325,,,73175,
80326,,,73176,
80327,,,73177,
80328,,,73178,
80330,60104,,,
80331,,60035,,
80332,,,,71435
80333,,,60014,
80334,,,60015,
80335,,,60016,
80336,,,73179,
80337,,,73180,
80338,,,,71436
80339,,,,71437
80346,60112,,,
80347,,72343,,
80348,,72341,,
80349,,72341,,
80350,,72342,,
80351,,72342,,
80352,,,,71439
80353,,,,71439
80354,,,,71440
80355,,,,71440
80356,,,,71441
80357,,,,71441
80358,,,,71442
80359,,,,71442
80360,,,,71443
80361,,,73185,
80362,,,73186,
80363,,,73186,
80364,,,73187,
80365,,,73187,
80367,,,73189,
80368,,,73190,
80369,60112,,,
80370,60112,,,
80371,60112,,,
80372,,60040,,
80373,,,,71444
80374,,,60020,
80375,,60041,,
80376,,,,71445
80377,,,60021,
80378,,60042,,
80379,,,,71446
80380,,,60022,
80381,,60043,,
80382,,,,71447
80383,,,60023,
80384,,72344,,
80385,,,,71448
80386,,,73191,
80387,,72345,,
80388,,,,71449
80389,,,73192,
80390,,72346,,
80391,,,,71450
80392,,,73193,
80393,60124,,,
80394,,72347,,
80395,,72347,,
80396,,,,71451
80397,,,,71451
80398,,,73194,
80399,,,73194,
80400,,72348,,
80401,,72348,,
80402,,,,71452
80403,,,,71452
80404,,,73195,
80405,,,73195,
80406,,,73196,
80407,,,73196,
80408,,,73197,
80409,,,73197,
80410,60114,,,
80411,,72350,,
80412,,,,71456
80413,,,73198,
80414,,72352,,
80415,,72351,,
80416,,,,71457
80417,,,,71458
80418,,,73199,
80419,,,73200,
80420,,,73201,
80421,,72353,,
80422,,,,71459
80423,,,,71460
80424,,,73202,
80425,,72354,,
80426,,,,71461
80427,,,73203,
80428,,72355,,
80429,,,,71462
80430,,,,71462
80431,,72355,,
80432,,,73204,
80433,,,73205,
80434,,,73205,
80435,60133,,,
80440,,72358,,
80441,,72358,,
80443,,,73208,
80444,,,,71467
80445,,72359,,
80446,,,73209,
80447,,,73210,
80448,,72360,,
80449,,,,71468
80450,,,73211,
80455,,72362,,
80456,,72362,,
80457,,,,71470
80458,,,,71470
80459,,,73214,
80460,,,73214,
80461,60142,,,
80462,60146,,,
80463,,60046,,
80464,,,,71471
80465,,,,71471
80467,,,73216,
80468,,,73216,
80470,,,73217,
80471,,,73217,
80472,,60048,,
80475,,,,71472
80476,,,73218,
80479,,,,71474
80480,,,,71475
80481,,,73221,
80482,60152,,,
80483,60152,,,
80484,,72364,,
80485,,72364,,
80486,,72364,,
80487,,,73222,
80488,,,73222,
80489,,,73222,
80490,,,,71476
80491,,,,71476
80492,,,,71476
80493,,,,71477
80494,,,,71477
80495,,,,71477
80496,60153,,,
80497,,72365,,
80498,,72365,,
80499,,,,71478
80500,,,,71478
80501,,,,71479
80502,,,,71479
80503,,,73223,
80504,,,73223,
80505,,,73224,
80506,,,73224,
80507,,72366,,
80508,,,,71480
80509,,,73225,
80510,,60052,,
80511,,72367,,
80512,,,,71481
80513,,,,71482
80514,,,73227,
80515,,,60025,
80516,,,73226,
80539,,72370,,
80540,,60055,,
80541,,72371,,
80542,,,,71486
80543,,,,71487
80544,,,,71488
80545,,,73232,
80546,,,60028,
80547,,,73231,
80553,,,,71491
80554,,,60029,
80555,,72374,,
80556,,,,71493
80557,,,,71492
80558,,,73236,
80559,,,73237,
80560,60165,,,
80561,,72375,,
80562,,72375,,
80563,,,,71494
80564,,,,71494
80565,,,73238,
80566,,,73238,
80567,,,73239,
80568,,,73239,
80569,60166,,,
80570,,72376,,
80571,,72376,,
80572,,,,71497
80573,,,,71497
80574,,,,71496
80575,,,,71496
80576,,60058,,
80577,,72377,,
80578,,72377,,
80579,,,,71498
80580,,,,71498
80581,,,73240,
80582,,,73240,
80583,,,73241,
80584,,,73241,
80585,,,73243,
80586,,,73243,
80587,,,,71499
80588,,,60031,
80591,,60062,,
80592,,,73244,
80593,,,73244,
80594,,60063,,
80595,60173,,,
80596,60173,,,
80597,,,73246,
80598,,,60033,
80599,,,73245,
80600,,,73247,
80601,,60063,,
80602,,,73248,
80603,,60065,,
80604,,60065,,
80605,,,,71502
80606,,,,71502
80607,,,60035,
80608,60175,,,
80620,,60068,,
80621,,,60038,
80622,,60070,,
80623,,60070,,
80624,,,73249,
80632,,,73257,
80639,,,,71506
80640,,,73262,
80641,,,73263,
80642,,,,71507
80643,60185,,,
80644,,60075,,
80645,,,,71507
80646,,,73263,
80647,60186,,,
80648,,72378,,
80649,,72378,,
80650,,,,71508
80651,,,,71508
80652,,,,71509
80653,,,,71509
80654,,60076,,
80655,,60076,,
80656,,,60040,
80657,,,60040,
80658,,,73264,
80659,,,73264,
80660,,,73265,
80661,,,73265,
80662,,60078,,
80663,,,,71510
80664,,,,71510
80665,,,60042,
80666,,,60042,
80667,,60080,,
80668,,,60044,
80669,,,60044,
80673,60199,,,
80674,60199,,,
80675,,60087,,
