GID_date,Period_number,Period,Sub_period,Start_date,End_date,Confidence_in_date
82310,9,Iron Age,Middle Iron Age,-390,-200,Y
82311,9,Iron Age,Middle Iron Age,-390,-190,Y
82312,9,Iron Age,Middle Iron Age,-500,-101,Y
82313,9,Iron Age,Middle Iron Age,-500,-101,Y
82314,9,Iron Age,Middle Iron Age,-500,-101,Y
82315,9,Iron Age,Middle Iron Age,-500,-101,Y
82316,9,Iron Age,Middle Iron Age,-500,-101,Y
82317,9,Iron Age,Middle Iron Age,-500,-101,Y
82318,9,Iron Age,Middle Iron Age,-500,-101,Y
82319,9,Iron Age,Middle Iron Age,-400,-101,Y
82320,9,Iron Age,Middle Iron Age,-400,-101,Y
82321,9,Iron Age,Middle Iron Age,-400,-101,Y
82322,9,Iron Age,Middle Iron Age,-400,-101,Y
82323,9,Iron Age,Middle Iron Age,-400,-101,Y
82324,9,Iron Age,Middle Iron Age,-400,-101,Y
82325,9,Iron Age,Middle Iron Age,-400,-101,Y
82326,9,Iron Age,Middle Iron Age,-400,-101,Y
82327,10,Iron Age,Late Iron Age,-100,42,Y
82328,14,Iron Age,n/a,-300,42,Y
82329,9,Iron Age,Middle Iron Age,-400,-101,Y
82330,9,Iron Age,Middle Iron Age,-400,-101,Y
82331,9,Iron Age,Middle Iron Age,-380,-200,Y
82332,9,Iron Age,Middle Iron Age,-400,-101,Y
82333,9,Iron Age,Middle Iron Age,-400,-101,Y
82334,10,Iron Age,Late Iron Age,-100,42,Y
82335,14,Iron Age,n/a,-500,-301,Y
82336,9,Iron Age,Middle Iron Age,-360,-120,Y
82338,9,Iron Age,Middle Iron Age,-400,-101,Y
82339,9,Iron Age,Middle Iron Age,-400,-101,Y
82340,10,Iron Age,Late Iron Age,-100,42,Y
82341,10,Iron Age,Late Iron Age,-100,42,Y
82342,10,Iron Age,Late Iron Age,-100,42,Y
82343,14,Iron Age,n/a,-300,42,Y
82344,14,Iron Age,n/a,-300,42,Y
82345,9,Iron Age,Middle Iron Age,-400,-101,Y
82346,9,Iron Age,Middle Iron Age,-400,-101,Y
82347,9,Iron Age,Middle Iron Age,-400,-101,Y
82348,9,Iron Age,Middle Iron Age,-400,-101,Y
82349,9,Iron Age,Middle Iron Age,-400,-101,Y
82350,10,Iron Age,Late Iron Age,-380,-200,Y
82351,9,Iron Age,Middle Iron Age,-380,-200,Y
82352,9,Iron Age,Middle Iron Age,-380,-200,Y
82353,9,Iron Age,Middle Iron Age,-380,-200,Y
82354,9,Iron Age,Middle Iron Age,-380,-200,Y
82355,9,Iron Age,Middle Iron Age,-400,-101,Y
82356,9,Iron Age,Middle Iron Age,-400,-101,Y
82357,9,Iron Age,Middle Iron Age,-400,-101,Y
82358,9,Iron Age,Middle Iron Age,-400,-101,Y
82359,9,Iron Age,Middle Iron Age,-400,-101,Y
82360,10,Iron Age,Late Iron Age,-100,42,Y
82362,14,Iron Age,n/a,-500,-301,Y
82363,14,Iron Age,n/a,-500,-301,Y
82364,14,Iron Age,n/a,-500,-301,Y
82365,9,Iron Age,Middle Iron Age,-360,-120,Y
82366,9,Iron Age,Middle Iron Age,-360,-120,Y
82367,9,Iron Age,Middle Iron Age,-360,-120,Y
82368,9,Iron Age,Middle Iron Age,-360,-120,Y
82369,9,Iron Age,Middle Iron Age,-360,-120,Y
82376,9,Iron Age,Middle Iron Age,-350,-115,Y
82377,9,Iron Age,Middle Iron Age,-350,-115,Y
82378,9,Iron Age,Middle Iron Age,-350,-115,Y
82379,9,Iron Age,Middle Iron Age,-350,-115,Y
82380,9,Iron Age,Middle Iron Age,-210,-160,Y
82381,9,Iron Age,Middle Iron Age,-350,-115,Y
82382,9,Iron Age,Middle Iron Age,-350,-115,Y
82383,9,Iron Age,Middle Iron Age,-350,-115,Y
82385,9,Iron Age,Middle Iron Age,-350,-115,Y
82386,9,Iron Age,Middle Iron Age,-350,-115,Y
82387,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
82388,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
82389,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
82390,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
82391,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
82392,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
82393,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
82394,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
82395,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
82396,13,Bronze Age,n/a,-2450,-801,Y
82397,8,Iron Age,Early Iron Age,-800,-401,N
82398,8,Iron Age,Early Iron Age,-800,-401,N
82399,8,Iron Age,Early Iron Age,-800,-401,N
82400,8,Iron Age,Early Iron Age,-800,-401,N
82401,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
82402,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
82403,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
82404,9,Iron Age,Middle Iron Age,-300,-101,Y
82405,9,Iron Age,Middle Iron Age,-300,-101,Y
82406,9,Iron Age,Middle Iron Age,-300,-101,Y
82407,9,Iron Age,Middle Iron Age,-300,-101,Y
82408,9,Iron Age,Middle Iron Age,-300,-101,Y
82409,9,Iron Age,Middle Iron Age,-400,-101,Y
82410,9,Iron Age,Middle Iron Age,-400,-101,Y
82411,9,Iron Age,Middle Iron Age,-400,-101,Y
82412,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82413,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82414,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82415,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82416,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82417,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82418,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82419,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82420,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82421,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82422,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
82423,7,Bronze Age,Late Bronze Age,-1150,-801,Y
82424,13,Bronze Age,n/a,-1500,-801,Y
82425,13,Bronze Age,n/a,-1500,-801,Y
82426,13,Bronze Age,n/a,-1500,-801,Y
82427,13,Bronze Age,n/a,-1500,-801,Y
82428,13,Bronze Age,n/a,-1500,-801,Y
82429,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82431,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82434,13,Bronze Age,n/a,-2450,-1501,Y
82435,13,Bronze Age,n/a,-2450,-801,Y
82437,13,Bronze Age,n/a,-2450,-801,Y
82440,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82442,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82443,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82444,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82445,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82446,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
82447,9,Iron Age,Middle Iron Age,-400,-101,Y
82448,9,Iron Age,Middle Iron Age,-400,-101,Y
82449,14,Iron Age,n/a,-800,42,N
82450,14,Iron Age,n/a,-800,42,N
82453,9,Iron Age,Middle Iron Age,-400,-101,Y
82454,9,Iron Age,Middle Iron Age,-400,-101,Y
82455,9,Iron Age,Middle Iron Age,-400,-101,Y
82456,9,Iron Age,Middle Iron Age,-400,-101,Y
82457,9,Iron Age,Middle Iron Age,-400,-101,Y
82458,9,Iron Age,Middle Iron Age,-400,-101,Y
82459,9,Iron Age,Middle Iron Age,-400,-101,Y
82460,9,Iron Age,Middle Iron Age,-400,-101,Y
82461,9,Iron Age,Middle Iron Age,-400,-101,Y
82462,9,Iron Age,Middle Iron Age,-400,-101,Y
82463,9,Iron Age,Middle Iron Age,-400,-101,Y
82464,9,Iron Age,Middle Iron Age,-400,-101,Y
82465,9,Iron Age,Middle Iron Age,-400,-101,Y
82466,9,Iron Age,Middle Iron Age,-400,-101,Y
82467,9,Iron Age,Middle Iron Age,-400,-101,Y
82468,9,Iron Age,Middle Iron Age,-400,-101,Y
82469,9,Iron Age,Middle Iron Age,-400,-101,Y
82470,9,Iron Age,Middle Iron Age,-400,-101,Y
82471,9,Iron Age,Middle Iron Age,-400,-101,Y
82472,9,Iron Age,Middle Iron Age,-400,-101,Y
82473,9,Iron Age,Middle Iron Age,-400,-101,Y
82474,9,Iron Age,Middle Iron Age,-400,-101,Y
82475,9,Iron Age,Middle Iron Age,-400,-101,Y
82476,9,Iron Age,Middle Iron Age,-400,-101,Y
82477,9,Iron Age,Middle Iron Age,-400,-101,Y
82478,9,Iron Age,Middle Iron Age,-400,-101,Y
82479,9,Iron Age,Middle Iron Age,-400,-101,Y
82480,9,Iron Age,Middle Iron Age,-400,-101,Y
82481,9,Iron Age,Middle Iron Age,-400,-101,Y
82482,9,Iron Age,Middle Iron Age,-400,-101,Y
82483,9,Iron Age,Middle Iron Age,-400,-101,Y
82484,9,Iron Age,Middle Iron Age,-400,-101,Y
82485,9,Iron Age,Middle Iron Age,-400,-101,Y
82486,9,Iron Age,Middle Iron Age,-400,-101,Y
82487,9,Iron Age,Middle Iron Age,-400,-101,Y
82488,9,Iron Age,Middle Iron Age,-400,-101,Y
82489,9,Iron Age,Middle Iron Age,-400,-101,Y
82490,9,Iron Age,Middle Iron Age,-400,-101,Y
82491,9,Iron Age,Middle Iron Age,-400,-101,Y
82492,9,Iron Age,Middle Iron Age,-400,-101,Y
82493,9,Iron Age,Middle Iron Age,-400,-101,Y
82494,9,Iron Age,Middle Iron Age,-400,-101,Y
82495,9,Iron Age,Middle Iron Age,-400,-101,Y
82496,9,Iron Age,Middle Iron Age,-400,-101,Y
82497,9,Iron Age,Middle Iron Age,-400,-101,Y
82498,9,Iron Age,Middle Iron Age,-400,-101,Y
82499,9,Iron Age,Middle Iron Age,-400,-101,Y
82500,9,Iron Age,Middle Iron Age,-400,-101,Y
82501,9,Iron Age,Middle Iron Age,-400,-101,Y
82502,9,Iron Age,Middle Iron Age,-400,-101,Y
82503,9,Iron Age,Middle Iron Age,-400,-101,Y
82504,9,Iron Age,Middle Iron Age,-400,-101,Y
82505,9,Iron Age,Middle Iron Age,-400,-101,Y
82506,9,Iron Age,Middle Iron Age,-400,-101,Y
82507,9,Iron Age,Middle Iron Age,-400,-101,Y
82508,9,Iron Age,Middle Iron Age,-400,-101,Y
82509,9,Iron Age,Middle Iron Age,-400,-101,Y
82510,9,Iron Age,Middle Iron Age,-400,-101,Y
82511,9,Iron Age,Middle Iron Age,-400,-101,Y
82512,9,Iron Age,Middle Iron Age,-400,-101,Y
82513,9,Iron Age,Middle Iron Age,-400,-101,Y
82514,9,Iron Age,Middle Iron Age,-400,-101,Y
82515,9,Iron Age,Middle Iron Age,-400,-101,Y
82516,9,Iron Age,Middle Iron Age,-400,-101,Y
82517,9,Iron Age,Middle Iron Age,-400,-101,Y
82518,9,Iron Age,Middle Iron Age,-400,-101,Y
82519,9,Iron Age,Middle Iron Age,-400,-101,Y
82520,9,Iron Age,Middle Iron Age,-400,-101,Y
82521,9,Iron Age,Middle Iron Age,-400,-101,Y
82522,9,Iron Age,Middle Iron Age,-400,-101,Y
82523,9,Iron Age,Middle Iron Age,-400,-101,Y
82524,9,Iron Age,Middle Iron Age,-400,-101,Y
82525,9,Iron Age,Middle Iron Age,-400,-101,Y
82526,9,Iron Age,Middle Iron Age,-400,-101,Y
82527,9,Iron Age,Middle Iron Age,-400,-101,Y
82528,9,Iron Age,Middle Iron Age,-400,-101,Y
82529,9,Iron Age,Middle Iron Age,-400,-101,Y
82530,9,Iron Age,Middle Iron Age,-400,-101,Y
82531,9,Iron Age,Middle Iron Age,-400,-101,Y
82532,9,Iron Age,Middle Iron Age,-400,-101,Y
82533,9,Iron Age,Middle Iron Age,-400,-101,Y
82534,9,Iron Age,Middle Iron Age,-400,-101,Y
82535,9,Iron Age,Middle Iron Age,-400,-101,Y
82536,9,Iron Age,Middle Iron Age,-400,-101,Y
82537,9,Iron Age,Middle Iron Age,-400,-101,Y
82538,9,Iron Age,Middle Iron Age,-400,-101,Y
82539,9,Iron Age,Middle Iron Age,-400,-101,Y
82540,9,Iron Age,Middle Iron Age,-400,-101,Y
82541,9,Iron Age,Middle Iron Age,-400,-101,Y
82542,9,Iron Age,Middle Iron Age,-400,-101,Y
82543,9,Iron Age,Middle Iron Age,-400,-101,Y
82544,9,Iron Age,Middle Iron Age,-400,-101,Y
82545,9,Iron Age,Middle Iron Age,-400,-101,Y
82546,9,Iron Age,Middle Iron Age,-400,-101,Y
82547,9,Iron Age,Middle Iron Age,-400,-101,Y
82548,9,Iron Age,Middle Iron Age,-400,-101,Y
82549,9,Iron Age,Middle Iron Age,-400,-101,Y
82550,9,Iron Age,Middle Iron Age,-400,-101,Y
82551,9,Iron Age,Middle Iron Age,-400,-101,Y
82552,9,Iron Age,Middle Iron Age,-400,-101,Y
82553,9,Iron Age,Middle Iron Age,-400,-101,Y
82554,9,Iron Age,Middle Iron Age,-400,-101,Y
82555,9,Iron Age,Middle Iron Age,-400,-101,Y
82556,9,Iron Age,Middle Iron Age,-400,-101,Y
82557,9,Iron Age,Middle Iron Age,-400,-101,Y
82558,9,Iron Age,Middle Iron Age,-400,-101,Y
82559,9,Iron Age,Middle Iron Age,-400,-101,Y
82560,9,Iron Age,Middle Iron Age,-400,-101,Y
82561,9,Iron Age,Middle Iron Age,-400,-101,Y
82562,9,Iron Age,Middle Iron Age,-400,-101,Y
82563,9,Iron Age,Middle Iron Age,-400,-101,Y
82564,9,Iron Age,Middle Iron Age,-400,-101,Y
82565,9,Iron Age,Middle Iron Age,-400,-101,Y
82566,9,Iron Age,Middle Iron Age,-400,-101,Y
82567,9,Iron Age,Middle Iron Age,-400,-101,Y
82568,9,Iron Age,Middle Iron Age,-400,-101,Y
82569,9,Iron Age,Middle Iron Age,-400,-101,Y
82570,9,Iron Age,Middle Iron Age,-400,-101,Y
82571,9,Iron Age,Middle Iron Age,-400,-101,Y
82572,9,Iron Age,Middle Iron Age,-400,-101,Y
82573,9,Iron Age,Middle Iron Age,-400,-101,Y
82574,9,Iron Age,Middle Iron Age,-400,-101,Y
82575,9,Iron Age,Middle Iron Age,-400,-101,Y
82576,9,Iron Age,Middle Iron Age,-400,-101,Y
82577,9,Iron Age,Middle Iron Age,-400,-101,Y
82578,9,Iron Age,Middle Iron Age,-400,-101,Y
82579,9,Iron Age,Middle Iron Age,-400,-101,Y
82580,9,Iron Age,Middle Iron Age,-400,-101,Y
82581,9,Iron Age,Middle Iron Age,-400,-101,Y
82582,9,Iron Age,Middle Iron Age,-400,-101,Y
82583,9,Iron Age,Middle Iron Age,-400,-101,Y
82584,9,Iron Age,Middle Iron Age,-400,-101,Y
82585,9,Iron Age,Middle Iron Age,-400,-101,Y
82586,9,Iron Age,Middle Iron Age,-400,-101,Y
82587,9,Iron Age,Middle Iron Age,-400,-101,Y
82588,9,Iron Age,Middle Iron Age,-400,-101,Y
82589,9,Iron Age,Middle Iron Age,-400,-101,Y
82590,9,Iron Age,Middle Iron Age,-400,-101,Y
82591,9,Iron Age,Middle Iron Age,-400,-101,Y
82592,9,Iron Age,Middle Iron Age,-400,-101,Y
82593,9,Iron Age,Middle Iron Age,-400,-101,Y
82594,9,Iron Age,Middle Iron Age,-400,-101,Y
82595,9,Iron Age,Middle Iron Age,-400,-101,Y
82596,9,Iron Age,Middle Iron Age,-400,-101,Y
82597,9,Iron Age,Middle Iron Age,-400,-101,Y
82598,9,Iron Age,Middle Iron Age,-400,-101,Y
82599,9,Iron Age,Middle Iron Age,-400,-101,Y
82600,9,Iron Age,Middle Iron Age,-400,-101,Y
82601,9,Iron Age,Middle Iron Age,-400,-101,Y
82602,9,Iron Age,Middle Iron Age,-400,-101,Y
82603,9,Iron Age,Middle Iron Age,-400,-101,Y
82604,9,Iron Age,Middle Iron Age,-400,-101,Y
82605,9,Iron Age,Middle Iron Age,-400,-101,Y
82606,9,Iron Age,Middle Iron Age,-400,-101,Y
82607,13,Bronze Age,n/a,-1500,-801,Y
82608,13,Bronze Age,n/a,-1500,-801,Y
82609,13,Bronze Age,n/a,-1500,-801,Y
82610,13,Bronze Age,n/a,-1500,-801,Y
82611,13,Bronze Age,n/a,-1500,-801,Y
82612,13,Bronze Age,n/a,-1500,-801,Y
82613,13,Bronze Age,n/a,-1500,-801,Y
82614,13,Bronze Age,n/a,-1500,-801,Y
82615,13,Bronze Age,n/a,-1500,-801,Y
82616,13,Bronze Age,n/a,-1500,-801,Y
82617,13,Bronze Age,n/a,-1500,-801,Y
82618,13,Bronze Age,n/a,-1500,-801,Y
82619,13,Bronze Age,n/a,-1500,-801,Y
82620,13,Bronze Age,n/a,-1500,-801,Y
82621,13,Bronze Age,n/a,-1500,-801,Y
82622,13,Bronze Age,n/a,-1500,-801,Y
82623,13,Bronze Age,n/a,-1500,-801,Y
82625,7,Bronze Age,Late Bronze Age,-1150,-801,Y
82626,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
82627,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
82629,9,Iron Age,Middle Iron Age,-400,-101,Y
82630,9,Iron Age,Middle Iron Age,-400,-101,Y
82631,9,Iron Age,Middle Iron Age,-400,-101,Y
82632,9,Iron Age,Middle Iron Age,-400,-101,Y
82633,9,Iron Age,Middle Iron Age,-400,-101,Y
82634,9,Iron Age,Middle Iron Age,-400,-101,Y
82635,9,Iron Age,Middle Iron Age,-400,-101,Y
82636,9,Iron Age,Middle Iron Age,-400,-101,Y
82637,9,Iron Age,Middle Iron Age,-400,-101,Y
82638,9,Iron Age,Middle Iron Age,-400,-101,Y
82639,9,Iron Age,Middle Iron Age,-400,-101,Y
82640,9,Iron Age,Middle Iron Age,-400,-101,Y
82641,9,Iron Age,Middle Iron Age,-400,-101,Y
82642,9,Iron Age,Middle Iron Age,-400,-101,Y
82643,9,Iron Age,Middle Iron Age,-400,-101,Y
82644,9,Iron Age,Middle Iron Age,-400,-101,Y
82645,9,Iron Age,Middle Iron Age,-400,-101,Y
82646,9,Iron Age,Middle Iron Age,-400,-101,Y
82647,9,Iron Age,Middle Iron Age,-400,-101,Y
82648,9,Iron Age,Middle Iron Age,-400,-101,Y
82649,9,Iron Age,Middle Iron Age,-400,-101,Y
82650,9,Iron Age,Middle Iron Age,-400,-101,Y
82651,9,Iron Age,Middle Iron Age,-400,-101,Y
82652,9,Iron Age,Middle Iron Age,-400,-101,Y
82653,9,Iron Age,Middle Iron Age,-400,-101,Y
82654,9,Iron Age,Middle Iron Age,-400,-101,Y
82655,9,Iron Age,Middle Iron Age,-400,-101,Y
82656,9,Iron Age,Middle Iron Age,-400,-101,Y
82657,9,Iron Age,Middle Iron Age,-400,-101,Y
82658,9,Iron Age,Middle Iron Age,-400,-101,Y
82659,9,Iron Age,Middle Iron Age,-400,-101,Y
82660,9,Iron Age,Middle Iron Age,-400,-101,Y
82661,9,Iron Age,Middle Iron Age,-400,-101,Y
82662,9,Iron Age,Middle Iron Age,-400,-101,Y
82663,9,Iron Age,Middle Iron Age,-400,-101,Y
82664,9,Iron Age,Middle Iron Age,-400,-101,Y
82665,9,Iron Age,Middle Iron Age,-400,-101,Y
82666,9,Iron Age,Middle Iron Age,-400,-101,Y
82667,9,Iron Age,Middle Iron Age,-400,-101,Y
82668,9,Iron Age,Middle Iron Age,-400,-101,Y
82669,9,Iron Age,Middle Iron Age,-400,-101,Y
82670,9,Iron Age,Middle Iron Age,-400,-101,Y
82671,9,Iron Age,Middle Iron Age,-400,-101,Y
82672,9,Iron Age,Middle Iron Age,-400,-101,Y
82673,9,Iron Age,Middle Iron Age,-400,-101,Y
82674,9,Iron Age,Middle Iron Age,-400,-101,Y
82675,9,Iron Age,Middle Iron Age,-400,-101,Y
82676,9,Iron Age,Middle Iron Age,-400,-101,Y
82677,9,Iron Age,Middle Iron Age,-400,-101,Y
82678,9,Iron Age,Middle Iron Age,-400,-101,Y
82679,9,Iron Age,Middle Iron Age,-400,-101,Y
82680,9,Iron Age,Middle Iron Age,-400,-101,Y
82681,9,Iron Age,Middle Iron Age,-400,-101,Y
82682,9,Iron Age,Middle Iron Age,-400,-101,Y
82683,9,Iron Age,Middle Iron Age,-400,-101,Y
82684,9,Iron Age,Middle Iron Age,-400,-101,Y
82685,9,Iron Age,Middle Iron Age,-400,-101,Y
82686,9,Iron Age,Middle Iron Age,-400,-101,Y
82687,9,Iron Age,Middle Iron Age,-400,-101,Y
82688,9,Iron Age,Middle Iron Age,-400,-101,Y
82689,9,Iron Age,Middle Iron Age,-400,-101,Y
82690,9,Iron Age,Middle Iron Age,-400,-101,Y
82691,9,Iron Age,Middle Iron Age,-400,-101,Y
82692,9,Iron Age,Middle Iron Age,-400,-101,Y
82693,9,Iron Age,Middle Iron Age,-400,-101,Y
82694,9,Iron Age,Middle Iron Age,-400,-101,Y
82695,9,Iron Age,Middle Iron Age,-400,-101,Y
82696,9,Iron Age,Middle Iron Age,-400,-101,Y
82697,9,Iron Age,Middle Iron Age,-400,-101,Y
82698,9,Iron Age,Middle Iron Age,-400,-101,Y
82699,9,Iron Age,Middle Iron Age,-400,-101,Y
82700,9,Iron Age,Middle Iron Age,-400,-101,Y
82701,9,Iron Age,Middle Iron Age,-400,-101,Y
82702,9,Iron Age,Middle Iron Age,-400,-101,Y
82703,9,Iron Age,Middle Iron Age,-400,-101,Y
82704,9,Iron Age,Middle Iron Age,-400,-101,Y
82705,9,Iron Age,Middle Iron Age,-400,-101,Y
82706,9,Iron Age,Middle Iron Age,-400,-101,Y
82707,9,Iron Age,Middle Iron Age,-400,-101,Y
82708,9,Iron Age,Middle Iron Age,-400,-101,Y
82709,9,Iron Age,Middle Iron Age,-400,-101,Y
82710,9,Iron Age,Middle Iron Age,-400,-101,Y
82711,9,Iron Age,Middle Iron Age,-400,-101,Y
82712,9,Iron Age,Middle Iron Age,-400,-101,Y
82713,9,Iron Age,Middle Iron Age,-400,-101,Y
82714,9,Iron Age,Middle Iron Age,-400,-101,Y
82715,9,Iron Age,Middle Iron Age,-400,-101,Y
82716,9,Iron Age,Middle Iron Age,-400,-101,Y
82717,9,Iron Age,Middle Iron Age,-400,-101,Y
82718,9,Iron Age,Middle Iron Age,-400,-101,Y
82719,9,Iron Age,Middle Iron Age,-400,-101,Y
82720,9,Iron Age,Middle Iron Age,-400,-101,Y
82721,9,Iron Age,Middle Iron Age,-400,-101,Y
82722,9,Iron Age,Middle Iron Age,-400,-101,Y
82723,9,Iron Age,Middle Iron Age,-400,-101,Y
82724,9,Iron Age,Middle Iron Age,-400,-101,Y
82725,9,Iron Age,Middle Iron Age,-400,-101,Y
82726,9,Iron Age,Middle Iron Age,-400,-101,Y
82727,9,Iron Age,Middle Iron Age,-400,-101,Y
82728,9,Iron Age,Middle Iron Age,-400,-101,Y
82729,9,Iron Age,Middle Iron Age,-400,-101,Y
82730,9,Iron Age,Middle Iron Age,-400,-101,Y
82731,9,Iron Age,Middle Iron Age,-400,-101,Y
82732,9,Iron Age,Middle Iron Age,-400,-101,Y
82733,9,Iron Age,Middle Iron Age,-400,-101,Y
82734,9,Iron Age,Middle Iron Age,-400,-101,Y
82735,9,Iron Age,Middle Iron Age,-400,-101,Y
82736,9,Iron Age,Middle Iron Age,-400,-101,Y
82737,9,Iron Age,Middle Iron Age,-400,-101,Y
82738,9,Iron Age,Middle Iron Age,-400,-101,Y
82739,9,Iron Age,Middle Iron Age,-400,-101,Y
82740,9,Iron Age,Middle Iron Age,-400,-101,Y
82741,9,Iron Age,Middle Iron Age,-400,-101,Y
82742,9,Iron Age,Middle Iron Age,-400,-101,Y
82743,9,Iron Age,Middle Iron Age,-400,-101,Y
82744,9,Iron Age,Middle Iron Age,-400,-101,Y
82745,9,Iron Age,Middle Iron Age,-400,-101,Y
82746,9,Iron Age,Middle Iron Age,-400,-101,Y
82747,9,Iron Age,Middle Iron Age,-400,-101,Y
82748,9,Iron Age,Middle Iron Age,-400,-101,Y
82749,9,Iron Age,Middle Iron Age,-400,-101,Y
82750,9,Iron Age,Middle Iron Age,-400,-101,Y
82751,9,Iron Age,Middle Iron Age,-400,-101,Y
82752,9,Iron Age,Middle Iron Age,-400,-101,Y
82753,9,Iron Age,Middle Iron Age,-400,-101,Y
82754,9,Iron Age,Middle Iron Age,-400,-101,Y
82755,9,Iron Age,Middle Iron Age,-400,-101,Y
82756,9,Iron Age,Middle Iron Age,-400,-101,Y
82757,9,Iron Age,Middle Iron Age,-400,-101,Y
82758,9,Iron Age,Middle Iron Age,-400,-101,Y
82759,9,Iron Age,Middle Iron Age,-400,-101,Y
82760,9,Iron Age,Middle Iron Age,-400,-101,Y
82761,9,Iron Age,Middle Iron Age,-400,-101,Y
82762,9,Iron Age,Middle Iron Age,-400,-101,Y
82763,9,Iron Age,Middle Iron Age,-400,-101,Y
82764,9,Iron Age,Middle Iron Age,-400,-101,Y
82765,9,Iron Age,Middle Iron Age,-400,-101,Y
82766,9,Iron Age,Middle Iron Age,-400,-101,Y
82767,9,Iron Age,Middle Iron Age,-400,-101,Y
82768,9,Iron Age,Middle Iron Age,-400,-101,Y
82769,9,Iron Age,Middle Iron Age,-400,-101,Y
82770,9,Iron Age,Middle Iron Age,-400,-101,Y
82771,9,Iron Age,Middle Iron Age,-400,-101,Y
82772,9,Iron Age,Middle Iron Age,-400,-101,Y
82773,9,Iron Age,Middle Iron Age,-400,-101,Y
82774,9,Iron Age,Middle Iron Age,-400,-101,Y
82775,9,Iron Age,Middle Iron Age,-400,-101,Y
82776,9,Iron Age,Middle Iron Age,-400,-101,Y
82777,9,Iron Age,Middle Iron Age,-400,-101,Y
82778,9,Iron Age,Middle Iron Age,-400,-101,Y
82779,9,Iron Age,Middle Iron Age,-400,-101,Y
82780,9,Iron Age,Middle Iron Age,-400,-101,Y
82781,9,Iron Age,Middle Iron Age,-400,-101,Y
82782,9,Iron Age,Middle Iron Age,-400,-101,Y
82783,9,Iron Age,Middle Iron Age,-400,-101,Y
82784,9,Iron Age,Middle Iron Age,-400,-101,Y
82785,9,Iron Age,Middle Iron Age,-400,-101,Y
82786,9,Iron Age,Middle Iron Age,-400,-101,Y
82787,9,Iron Age,Middle Iron Age,-400,-101,Y
82788,9,Iron Age,Middle Iron Age,-400,-101,Y
82789,9,Iron Age,Middle Iron Age,-400,-101,Y
82790,9,Iron Age,Middle Iron Age,-400,-101,Y
82791,9,Iron Age,Middle Iron Age,-400,-101,Y
82792,9,Iron Age,Middle Iron Age,-400,-101,Y
82793,9,Iron Age,Middle Iron Age,-400,-101,Y
82794,9,Iron Age,Middle Iron Age,-400,-101,Y
82795,9,Iron Age,Middle Iron Age,-400,-101,Y
82796,9,Iron Age,Middle Iron Age,-400,-101,Y
82797,9,Iron Age,Middle Iron Age,-400,-101,Y
82798,9,Iron Age,Middle Iron Age,-400,-101,Y
82799,9,Iron Age,Middle Iron Age,-400,-101,Y
82800,9,Iron Age,Middle Iron Age,-400,-101,Y
82801,9,Iron Age,Middle Iron Age,-400,-101,Y
82802,9,Iron Age,Middle Iron Age,-400,-101,Y
82803,9,Iron Age,Middle Iron Age,-400,-101,Y
82804,9,Iron Age,Middle Iron Age,-400,-101,Y
82805,9,Iron Age,Middle Iron Age,-400,-101,Y
82806,9,Iron Age,Middle Iron Age,-400,-101,Y
82807,9,Iron Age,Middle Iron Age,-400,-101,Y
82808,9,Iron Age,Middle Iron Age,-400,-101,Y
82809,9,Iron Age,Middle Iron Age,-400,-101,Y
82810,9,Iron Age,Middle Iron Age,-400,-101,Y
